equipment_id,days_since_maintenance,total_usage_hours,avg_daily_usage,procedure_count,needs_maintenance_soon
EQ0000,103,3950,6.298170941453725,112,1
EQ0001,93,972,7.303431405120339,487,1
EQ0002,15,1352,3.0899280069685706,326,1
EQ0003,107,1414,4.428716464490839,29,1
EQ0004,72,4920,1.6579178867010018,134,1
EQ0005,21,2998,2.220918820579463,66,1
EQ0006,103,177,6.9706196126673365,64,1
EQ0007,122,2721,2.223664303108456,291,1
EQ0008,75,4327,5.489052144837071,24,1
EQ0009,88,700,7.235939486363111,36,1
EQ0010,117,1165,1.5153307694000664,0,1
EQ0011,100,2236,5.889466086474584,398,1
EQ0012,104,2549,2.9373464451629556,36,1
EQ0013,152,2443,9.647805314757008,140,1
EQ0014,131,1963,5.0936836438392845,231,1
EQ0015,150,1418,8.156929222864001,135,1
EQ0016,53,4811,5.7271521504844864,388,1
EQ0017,2,3697,0.912419062120782,187,1
EQ0018,88,3862,6.514938068143213,127,1
EQ0019,158,4770,9.538331750963241,200,1
EQ0020,38,2290,6.215312291390147,126,1
EQ0021,130,1092,8.282294164554507,256,1
EQ0022,21,2812,8.899961401809874,163,1
EQ0023,161,2292,2.6667578335148585,34,1
EQ0024,58,1348,2.514425979128153,193,1
EQ0025,22,3154,6.3043193940844215,190,1
EQ0026,89,4698,4.404770463163695,103,1
EQ0027,49,4133,8.478682377233843,22,1
EQ0028,59,2097,9.050219672281106,264,1
EQ0029,170,3787,3.857503103375822,289,1
EQ0030,15,2251,2.7502703102575796,429,1
EQ0031,175,4118,7.914992394816688,461,1
EQ0032,51,3210,3.110657337707293,383,1
EQ0033,108,2070,8.314836025879945,259,1
EQ0034,55,297,4.5255134096632466,413,1
EQ0035,64,2726,6.841724043268969,478,1
EQ0036,131,1302,1.4075854814293476,357,1
EQ0037,51,2135,6.426663584427444,74,1
EQ0038,135,577,4.7917929480036765,354,1
EQ0039,21,1354,6.072780400167004,71,1
EQ0040,73,1022,2.0961349735762025,258,1
EQ0041,167,519,7.50030057696973,397,1
EQ0042,18,2304,8.696572236660671,187,1
EQ0043,132,2697,2.5590281008623688,460,1
EQ0044,89,1220,1.4092882774415365,172,1
EQ0045,60,3168,0.7245665674401958,479,1
EQ0046,14,1050,6.598729254211027,289,1
EQ0047,9,2436,6.267393342843417,44,1
EQ0048,90,2343,5.693625420783665,60,1
EQ0049,53,2745,2.7034974131017666,82,1
EQ0050,130,1957,4.213606961102389,122,1
EQ0051,84,4712,6.147525184268644,357,1
EQ0052,92,1965,5.2192851591621094,15,1
EQ0053,111,3012,9.88396244204143,65,1
EQ0054,172,2953,1.7961776492889647,423,1
EQ0055,8,3328,7.103873263452141,144,1
EQ0056,175,3819,4.341028296990775,374,1
EQ0057,35,3328,4.5678963417933405,161,1
EQ0058,81,2471,7.317178773752675,233,1
EQ0059,164,2991,7.078143437581511,379,1
EQ0060,50,3856,9.91693194017079,143,1
EQ0061,104,4325,1.7197457498141897,357,1
EQ0062,132,194,1.4890416691495802,187,1
EQ0063,2,2774,7.381218762723041,321,1
EQ0064,134,2055,5.994675711560887,449,1
EQ0065,54,893,3.1045263323181556,473,1
EQ0066,106,1934,1.2544840053953727,12,1
EQ0067,4,2216,1.31375337116609,183,1
EQ0068,54,4206,8.994813309309123,110,1
EQ0069,146,3425,2.3227395848280574,414,1
EQ0070,44,3019,3.5720298400974473,289,1
EQ0071,162,2697,2.653235821156386,294,1
EQ0072,14,3305,3.8724649054034046,450,1
EQ0073,95,4907,1.159526506087887,391,1
EQ0074,48,914,5.431068013628568,214,1
EQ0075,15,445,1.1423193541260415,461,1
EQ0076,40,2449,8.103386824312434,119,1
EQ0077,82,462,2.720264778149114,381,1
EQ0078,111,2543,5.63011318874285,54,1
EQ0079,53,2365,8.860751331833853,26,1
EQ0080,24,2288,6.6833350059483445,117,1
EQ0081,154,3105,5.563098972237685,220,1
EQ0082,124,3381,3.581170654596068,230,1
EQ0083,41,1084,3.6635181740528804,52,1
EQ0084,157,1739,6.860126074382806,294,1
EQ0085,15,927,9.944323931601092,320,1
EQ0086,45,2830,6.787472303569097,400,1
EQ0087,65,3631,5.798942465015236,232,1
EQ0088,89,4551,7.441179847272838,157,1
EQ0089,71,3035,4.919453316695322,436,1
EQ0090,9,3976,1.0713522547074597,268,1
EQ0091,88,226,5.841819750840143,20,1
EQ0092,129,3277,9.597440202801112,402,1
EQ0093,136,3156,2.1653779523977663,52,1
EQ0094,63,703,7.055046462796325,274,1
EQ0095,139,3549,2.4088700422610367,312,1
EQ0096,81,4246,5.590363002494272,280,1
EQ0097,136,3633,1.4184262716438365,213,1
EQ0098,163,3467,4.778523894452759,30,1
EQ0099,163,3468,7.683551624504838,336,1
EQ0100,33,3897,3.8019294802703296,182,1
EQ0101,123,1892,6.816661382628571,22,1
EQ0102,5,2961,8.056774627502428,31,1
EQ0103,41,3576,9.3081892850548,445,1
EQ0104,28,3517,2.729099777626809,73,1
EQ0105,135,1745,4.293501200188427,9,1
EQ0106,72,1305,1.9479521266389657,483,1
EQ0107,12,3130,9.928593270504564,455,1
EQ0108,162,2972,9.306509195280805,53,1
EQ0109,33,3172,5.629592737665316,51,1
EQ0110,48,1954,8.499316296576001,147,1
EQ0111,151,4121,5.449100784084401,159,1
EQ0112,62,4762,6.424064036026217,369,1
EQ0113,37,2808,1.3466821051021578,13,1
EQ0114,99,3602,7.675068994719675,177,1
EQ0115,172,1432,1.7132780945347308,411,1
EQ0116,104,301,8.34764248739902,365,1
EQ0117,35,3607,7.929266832868666,499,1
EQ0118,101,4312,7.233074628558276,52,1
EQ0119,175,674,0.8435236149852401,407,1
EQ0120,131,636,3.379719381480622,334,1
EQ0121,1,1725,2.999569414153007,21,1
EQ0122,5,2222,3.9212958709794314,29,1
EQ0123,142,485,1.3326060942564661,190,1
EQ0124,103,3381,9.401099318795097,259,1
EQ0125,27,574,5.761121286767574,204,1
EQ0126,137,517,3.4024809512512237,58,1
EQ0127,15,3700,4.271324412205693,470,1
EQ0128,90,1054,4.748424134795939,263,1
EQ0129,42,4958,6.205646166925864,465,1
EQ0130,124,1305,5.398954563116729,11,1
EQ0131,179,4859,9.234223745536966,118,1
EQ0132,63,4220,5.221153087605387,414,1
EQ0133,96,2090,9.92550114082147,461,1
EQ0134,52,4905,8.58853709857841,289,1
EQ0135,96,3672,2.48084988639469,337,1
EQ0136,132,4480,9.340654539117205,247,1
EQ0137,151,4258,1.605480779912023,353,1
EQ0138,143,4857,8.26577223066632,126,1
EQ0139,171,2813,4.115921288027511,74,1
EQ0140,29,2303,8.84075604422816,360,1
EQ0141,36,3220,8.746538556020779,203,1
EQ0142,13,1066,8.1562913011174,48,1
EQ0143,160,3532,8.005289144917082,78,1
EQ0144,71,788,3.3944518214313875,440,1
EQ0145,86,4343,1.2687331889868956,478,1
EQ0146,28,3801,4.328311698269034,240,1
