equipment_id,equipment_type,installation_date
EQ0001,X-Ray,2021-08-31 02:35:40.169124
EQ0002,MRI,2020-10-31 02:35:40.169172
EQ0003,Ventilator,2020-07-18 02:35:40.169193
EQ0004,MRI,2021-09-12 02:35:40.169207
EQ0005,CT Scanner,2020-10-14 02:35:40.169221
EQ0006,MRI,2023-03-04 02:35:40.169234
EQ0007,Ventilator,2023-05-05 02:35:40.169246
EQ0008,CT Scanner,2023-10-12 02:35:40.169258
EQ0009,X-Ray,2023-01-26 02:35:40.169270
EQ0010,Ultrasound,2022-01-09 02:35:40.169287
EQ0011,Ultrasound,2021-03-05 02:35:40.169300
EQ0012,MRI,2023-02-12 02:35:40.169313
EQ0013,MRI,2023-04-28 02:35:40.169325
EQ0014,X-Ray,2022-02-20 02:35:40.169338
EQ0015,CT Scanner,2022-01-09 02:35:40.169350
EQ0016,Ultrasound,2022-12-26 02:35:40.169362
EQ0017,Ventilator,2024-02-02 02:35:40.169374
EQ0018,CT Scanner,2023-09-22 02:35:40.169386
EQ0019,Ultrasound,2021-05-22 02:35:40.169398
EQ0020,Ultrasound,2024-02-15 02:35:40.169410
EQ0021,CT Scanner,2020-11-24 02:35:40.169422
EQ0022,Ventilator,2023-05-20 02:35:40.169434
EQ0023,X-Ray,2023-03-27 02:35:40.169446
EQ0024,MRI,2022-08-26 02:35:40.169458
EQ0025,CT Scanner,2023-01-28 02:35:40.169471
EQ0026,Ventilator,2021-09-22 02:35:40.169485
EQ0027,Ultrasound,2022-05-12 02:35:40.169500
EQ0028,X-Ray,2021-10-06 02:35:40.169513
EQ0029,Ultrasound,2020-07-13 02:35:40.169533
EQ0030,MRI,2020-08-01 02:35:40.169558
EQ0031,Ventilator,2024-06-25 02:35:40.169574
EQ0032,Ventilator,2022-06-15 02:35:40.169588
EQ0033,Ventilator,2021-10-31 02:35:40.169601
EQ0034,CT Scanner,2023-06-01 02:35:40.169615
EQ0035,MRI,2021-03-11 02:35:40.169629
EQ0036,MRI,2022-04-08 02:35:40.169642
EQ0037,Ultrasound,2023-04-14 02:35:40.169654
EQ0038,MRI,2022-08-10 02:35:40.169667
EQ0039,X-Ray,2024-01-04 02:35:40.169681
EQ0040,X-Ray,2023-03-19 02:35:40.169694
EQ0041,Ultrasound,2021-11-14 02:35:40.169707
EQ0042,CT Scanner,2022-05-07 02:35:40.169725
EQ0043,Ventilator,2024-03-29 02:35:40.169738
EQ0044,CT Scanner,2022-01-07 02:35:40.169754
EQ0045,Ultrasound,2023-04-17 02:35:40.169768
EQ0046,Ultrasound,2021-01-26 02:35:40.169782
EQ0047,CT Scanner,2022-08-01 02:35:40.169796
EQ0048,X-Ray,2023-07-17 02:35:40.169809
EQ0049,X-Ray,2023-04-23 02:35:40.169822
EQ0050,CT Scanner,2020-08-23 02:35:40.169836
