equipment_id,maintenance_date,maintenance_type,days_since_last,usage_since_last
EQ0001,2021-09-12 04:20:40.169124,routine,10,1016
EQ0001,2021-09-28 05:32:40.169124,routine,14,1204
EQ0001,2021-10-07 03:47:40.169124,corrective,3,858
EQ0001,2021-10-15 06:03:40.169124,routine,4,1075
EQ0001,2021-10-25 05:24:40.169124,routine,5,879
EQ0001,2021-11-03 05:53:40.169124,routine,2,1160
EQ0001,2021-11-12 05:13:40.169124,routine,4,1084
EQ0001,2021-11-17 03:24:40.169124,routine,3,905
EQ0001,2021-12-04 06:22:40.169124,routine,14,872
EQ0001,2021-12-18 06:11:40.169124,corrective,11,1169
EQ0001,2021-12-25 04:15:40.169124,routine,4,923
EQ0001,2022-01-04 05:42:40.169124,preventive,5,1070
EQ0001,2022-01-13 06:03:40.169124,routine,4,1059
EQ0001,2022-01-17 05:50:40.169124,routine,-1,966
EQ0001,2022-02-01 05:56:40.169124,routine,8,1274
EQ0001,2022-02-03 05:50:40.169124,routine,-2,881
EQ0001,2022-02-12 06:19:40.169124,routine,2,925
EQ0001,2022-02-19 05:06:40.169124,routine,4,1153
EQ0001,2022-02-27 04:43:40.169124,routine,3,928
EQ0001,2022-03-02 04:18:40.169124,routine,0,853
EQ0001,2022-03-10 05:05:40.169124,routine,6,1113
EQ0001,2022-03-30 04:26:40.169124,routine,13,1201
EQ0001,2022-04-04 04:51:40.169124,preventive,0,808
EQ0001,2022-04-13 05:30:40.169124,preventive,5,1000
EQ0001,2022-04-22 06:26:40.169124,preventive,7,1137
EQ0001,2022-05-01 05:51:40.169124,routine,6,1189
EQ0001,2022-05-13 06:11:40.169124,routine,10,926
EQ0001,2022-05-27 05:36:40.169124,routine,9,1300
EQ0001,2022-06-01 04:57:40.169124,routine,1,964
EQ0001,2022-06-13 06:18:40.169124,preventive,6,1175
EQ0001,2022-06-20 06:24:40.169124,corrective,5,923
EQ0001,2022-07-05 04:32:40.169124,routine,8,900
EQ0001,2022-07-08 04:52:40.169124,routine,1,1185
EQ0001,2022-07-21 05:33:40.169124,routine,9,1080
EQ0001,2022-08-02 04:41:40.169124,preventive,9,965
EQ0001,2022-08-09 04:47:40.169124,routine,5,1013
EQ0001,2022-08-21 03:36:40.169124,routine,6,937
EQ0001,2022-08-31 04:18:40.169124,corrective,3,915
EQ0001,2022-09-10 03:56:40.169124,routine,5,910
EQ0001,2022-09-18 04:49:40.169124,routine,4,1138
EQ0001,2022-09-28 06:07:40.169124,routine,4,1315
EQ0001,2022-10-05 04:16:40.169124,corrective,2,904
EQ0001,2022-10-12 05:59:40.169124,routine,0,999
EQ0001,2022-10-13 04:15:40.169124,routine,-1,1053
EQ0001,2022-10-29 05:59:40.169124,preventive,12,1111
EQ0001,2022-11-07 04:43:40.169124,routine,3,1146
EQ0001,2022-11-16 04:41:40.169124,routine,7,958
EQ0001,2022-12-07 04:49:40.169124,routine,18,1301
EQ0001,2022-12-25 05:24:40.169124,routine,12,1104
EQ0001,2022-12-31 06:27:40.169124,routine,2,1030
EQ0001,2023-01-04 06:15:40.169124,routine,1,867
EQ0001,2023-01-20 06:09:40.169124,corrective,11,924
EQ0001,2023-02-01 04:50:40.169124,routine,7,979
EQ0001,2023-02-06 05:42:40.169124,corrective,3,1129
EQ0001,2023-02-21 05:22:40.169124,routine,10,992
EQ0001,2023-03-04 05:53:40.169124,routine,6,1019
EQ0001,2023-03-10 06:27:40.169124,corrective,-1,1010
EQ0001,2023-03-15 06:30:40.169124,routine,0,925
EQ0001,2023-03-22 04:37:40.169124,preventive,5,908
EQ0001,2023-04-01 04:52:40.169124,routine,8,1290
EQ0001,2023-04-27 05:39:40.169124,routine,24,1147
EQ0001,2023-05-13 05:07:40.169124,routine,9,975
EQ0001,2023-05-16 04:19:40.169124,routine,-1,969
EQ0001,2023-05-19 05:51:40.169124,preventive,1,1300
EQ0001,2023-06-04 06:25:40.169124,routine,10,908
EQ0001,2023-06-06 04:32:40.169124,routine,-1,1013
EQ0001,2023-06-11 05:53:40.169124,routine,1,1044
EQ0001,2023-07-02 06:17:40.169124,routine,14,1172
EQ0001,2023-07-15 05:23:40.169124,preventive,7,983
EQ0001,2023-07-24 06:22:40.169124,routine,3,1242
EQ0001,2023-08-05 05:33:40.169124,routine,7,1008
EQ0001,2023-08-18 05:47:40.169124,routine,9,1025
EQ0001,2023-08-27 04:08:40.169124,routine,7,1098
EQ0002,2020-11-08 04:57:40.169172,routine,5,1004
EQ0002,2020-11-13 06:19:40.169172,routine,1,1061
EQ0002,2020-11-21 05:10:40.169172,corrective,3,1091
EQ0002,2020-11-24 05:55:40.169172,routine,0,964
EQ0002,2020-11-30 04:53:40.169172,routine,3,1067
EQ0002,2020-12-09 03:19:40.169172,routine,3,1107
EQ0002,2020-12-14 03:34:40.169172,routine,3,1037
EQ0002,2020-12-27 06:22:40.169172,routine,6,1004
EQ0002,2021-01-09 05:25:40.169172,routine,11,1115
EQ0002,2021-01-20 03:52:40.169172,routine,7,934
EQ0002,2021-02-04 06:03:40.169172,corrective,9,1177
EQ0002,2021-02-10 05:26:40.169172,routine,3,1267
EQ0002,2021-02-15 04:53:40.169172,routine,3,957
