equipment_id,check_out_time,check_in_time,duration_minutes
EQ0001,2022-10-03 02:35:40.169124,2022-10-03 06:04:40.169124,209
EQ0001,2022-03-13 02:35:40.169124,2022-03-13 03:28:40.169124,53
EQ0001,2022-01-29 02:35:40.169124,2022-01-29 05:55:40.169124,200
EQ0001,2022-04-22 02:35:40.169124,2022-04-22 04:46:40.169124,131
EQ0001,2022-04-27 02:35:40.169124,2022-04-27 03:20:40.169124,45
EQ0001,2022-10-27 02:35:40.169124,2022-10-27 05:29:40.169124,174
EQ0001,2023-04-10 02:35:40.169124,2023-04-10 03:10:40.169124,35
EQ0001,2022-03-05 02:35:40.169124,2022-03-05 04:07:40.169124,92
EQ0001,2023-08-04 02:35:40.169124,2023-08-04 04:24:40.169124,109
EQ0001,2023-06-12 02:35:40.169124,2023-06-12 04:50:40.169124,135
EQ0001,2022-01-10 02:35:40.169124,2022-01-10 04:45:40.169124,130
EQ0001,2023-06-27 02:35:40.169124,2023-06-27 05:23:40.169124,168
EQ0001,2022-09-22 02:35:40.169124,2022-09-22 05:27:40.169124,172
EQ0001,2022-06-21 02:35:40.169124,2022-06-21 04:38:40.169124,123
EQ0001,2023-07-10 02:35:40.169124,2023-07-10 05:23:40.169124,168
EQ0001,2022-02-13 02:35:40.169124,2022-02-13 03:09:40.169124,34
EQ0001,2023-03-01 02:35:40.169124,2023-03-01 03:33:40.169124,58
EQ0001,2022-02-13 02:35:40.169124,2022-02-13 04:57:40.169124,142
EQ0001,2022-05-23 02:35:40.169124,2022-05-23 03:55:40.169124,80
EQ0001,2022-11-12 02:35:40.169124,2022-11-12 04:46:40.169124,131
EQ0001,2021-12-26 02:35:40.169124,2021-12-26 03:07:40.169124,32
EQ0001,2022-09-20 02:35:40.169124,2022-09-20 06:20:40.169124,225
EQ0001,2022-03-09 02:35:40.169124,2022-03-09 06:02:40.169124,207
EQ0001,2022-07-30 02:35:40.169124,2022-07-30 03:17:40.169124,42
EQ0001,2021-10-01 02:35:40.169124,2021-10-01 05:47:40.169124,192
EQ0001,2022-10-11 02:35:40.169124,2022-10-11 04:03:40.169124,88
EQ0001,2022-05-23 02:35:40.169124,2022-05-23 05:36:40.169124,181
EQ0001,2023-03-25 02:35:40.169124,2023-03-25 05:16:40.169124,161
EQ0001,2023-06-26 02:35:40.169124,2023-06-26 03:08:40.169124,33
EQ0001,2021-11-19 02:35:40.169124,2021-11-19 03:46:40.169124,71
EQ0001,2023-07-15 02:35:40.169124,2023-07-15 04:09:40.169124,94
EQ0001,2022-07-12 02:35:40.169124,2022-07-12 04:20:40.169124,105
EQ0001,2022-07-23 02:35:40.169124,2022-07-23 03:09:40.169124,34
EQ0001,2023-01-08 02:35:40.169124,2023-01-08 03:59:40.169124,84
EQ0001,2022-01-02 02:35:40.169124,2022-01-02 04:07:40.169124,92
EQ0001,2022-05-15 02:35:40.169124,2022-05-15 04:15:40.169124,100
EQ0001,2022-09-19 02:35:40.169124,2022-09-19 03:16:40.169124,41
EQ0001,2022-10-28 02:35:40.169124,2022-10-28 05:19:40.169124,164
EQ0001,2021-09-08 02:35:40.169124,2021-09-08 04:59:40.169124,144
EQ0001,2023-02-25 02:35:40.169124,2023-02-25 06:30:40.169124,235
EQ0001,2022-05-10 02:35:40.169124,2022-05-10 04:22:40.169124,107
EQ0001,2023-01-30 02:35:40.169124,2023-01-30 03:13:40.169124,38
EQ0001,2021-11-28 02:35:40.169124,2021-11-28 03:51:40.169124,76
EQ0001,2022-04-02 02:35:40.169124,2022-04-02 04:20:40.169124,105
EQ0001,2022-06-22 02:35:40.169124,2022-06-22 03:05:40.169124,30
EQ0001,2021-12-13 02:35:40.169124,2021-12-13 04:38:40.169124,123
EQ0001,2023-03-05 02:35:40.169124,2023-03-05 03:52:40.169124,77
EQ0001,2022-03-19 02:35:40.169124,2022-03-19 03:26:40.169124,51
EQ0001,2022-01-18 02:35:40.169124,2022-01-18 03:11:40.169124,36
EQ0001,2022-07-08 02:35:40.169124,2022-07-08 05:50:40.169124,195
EQ0001,2022-03-24 02:35:40.169124,2022-03-24 04:26:40.169124,111
EQ0001,2023-08-05 02:35:40.169124,2023-08-05 05:52:40.169124,197
EQ0001,2023-03-22 02:35:40.169124,2023-03-22 05:28:40.169124,173
EQ0001,2021-10-03 02:35:40.169124,2021-10-03 04:55:40.169124,140
EQ0001,2022-12-25 02:35:40.169124,2022-12-25 06:34:40.169124,239
EQ0001,2023-08-30 02:35:40.169124,2023-08-30 03:43:40.169124,68
EQ0001,2022-02-18 02:35:40.169124,2022-02-18 05:01:40.169124,146
EQ0001,2022-01-22 02:35:40.169124,2022-01-22 04:22:40.169124,107
EQ0001,2022-05-27 02:35:40.169124,2022-05-27 05:29:40.169124,174
EQ0001,2023-04-30 02:35:40.169124,2023-04-30 04:47:40.169124,132
EQ0001,2022-06-02 02:35:40.169124,2022-06-02 05:27:40.169124,172
